primary_product,price,unit,weight,cross_sell_discount,promo_details,slogan,associated_cross_sell,dynamic_ad_prompt,pre_defined_ad_image
baseball_glove,39.99,/each,1 unit,25%,Perfect Match - 25% off Baseball-Bat,Catch Every Moment,baseball bat,E-commerce style product photo of baseball glove with baseball bat on white background,
baseball_glove,39.99,/each,1 unit,15%,Player's Choice - 15% off Sports Ball,Ready Set Play!,sports ball,E-commerce style product photo of baseball glove holding sports ball on white background,
skateboard,79.99,/each,1 unit,20%,Extreme Sports - 20% off Surfboard,Roll with Style,surfboard,E-commerce style product photo of skateboard and surfboard together on white background,
skateboard,79.99,/each,1 unit,15%,Urban Rider - 15% off Sports Ball,Street Certified,sports ball,E-commerce style product photo of skateboard with sports ball on white background,
surfboard,299.99,/each,1 unit,20%,Board Sports Combo - 20% off Skateboard,Ride the Wave!,skateboard,E-commerce style product photo of surfboard with skateboard on white background,
surfboard,299.99,/each,1 unit,10%,Beach Essentials - 10% off Bottles,Ocean Calling,bottle,E-commerce style product photo of surfboard with water bottle on white background,
tennis_racket,89.99,/each,1 unit,20%,Court Ready - 20% off Sports Ball,Ace Your Game!,sports ball,E-commerce style product photo of tennis racket with sports ball on white background,
tennis_racket,89.99,/each,1 unit,10%,Active Lifestyle - 10% off Bottles,Love Means Everything,bottle,E-commerce style product photo of tennis racket with water bottle on white background,
tv,499.99,/each,1 unit,15%,Entertainment Hub - 15% off Remote,Stream Your Dreams,remote,E-commerce style product photo of modern TV with remote control on white background,
tv,499.99,/each,1 unit,20%,Smart Home Bundle - 20% off Laptop,Bigger Better Binge,laptop,E-commerce style product photo of TV screen displaying content with laptop nearby on white background,
laptop,899.99,/each,1 unit,20%,Productivity Pack - 20% off Mouse,Work Smarter Not Harder,mouse,E-commerce style product photo of open laptop with wireless mouse on white background,
laptop,899.99,/each,1 unit,20%,Tech Essentials - 20% off Keyboard,Power Your Potential,keyboard,E-commerce style product photo of laptop with keyboard on white background,laptop_keyboard.jpg
laptop,899.99,/each,1 unit,15%,Complete Setup - 15% off TV,Innovation Unlimited,tv,E-commerce style product photo of laptop with TV screen in background on white background,
mouse,29.99,/each,1 unit,20%,Perfect Pair - 20% off Keyboard,Click Your Way to Success,keyboard,E-commerce style product photo of wireless mouse with keyboard on white background,
mouse,29.99,/each,1 unit,25%,Workspace Combo - 25% off Laptop,Precision Matters,laptop,E-commerce style product photo of mouse next to laptop on white background,
remote,19.99,/each,1 unit,15%,Control Center - 15% off TV,Command Your Comfort,tv,E-commerce style product photo of remote control with TV in background on white background,
remote,19.99,/each,1 unit,10%,Smart Bundle - 10% off Cell Phone,Click Relax Repeat,cell phone,E-commerce style product photo of remote control with smartphone on white background,
keyboard,59.99,/each,1 unit,20%,Typing Duo - 20% off Mouse,Type Like a Pro,mouse,E-commerce style product photo of keyboard with wireless mouse on white background,
keyboard,59.99,/each,1 unit,25%,Office Bundle - 25% off Laptop,Keys to Success,laptop,E-commerce style product photo of keyboard with laptop on white background,laptop_keyboard.jpg
cell_phone,699.99,/each,1 unit,15%,Connected Life - 15% off Laptop,Stay Connected Stay Ahead,laptop,E-commerce style product photo of smartphone next to laptop on white background,
cell_phone,699.99,/each,1 unit,20%,Mobile Office - 20% off Keyboard,Your World in Hand,keyboard,E-commerce style product photo of smartphone with keyboard on white background,
cell_phone,699.99,/each,1 unit,10%,Smart Control - 10% off Remote,Always Within Reach,remote,E-commerce style product photo of smartphone with remote control on white background,
bread,2.99,/loaf,24.0 oz,15%,Perfect Pair - 15% off Butter,Fresh Baked Daily!,butter,E-commerce style product photo of artisan bread loaf with butter on white background,
bread,2.99,/loaf,24.0 oz,10%,Sandwich Essentials - 10% off Cheese,Slice of Heaven,cheese,E-commerce style product photo of sliced bread with cheese on white background,
bread,2.99,/loaf,24.0 oz,20%,Complete Meal - 20% off Sandwich,Rise to the Occasion,sandwich,E-commerce style product photo of bread loaf with sandwich on white background,
bread,2.99,/loaf,24.0 oz,15%,Breakfast Bundle - 15% off Knife Set,Crusty & Delicious,knife,E-commerce style product photo of fresh bread with kitchen knife on white background,
